Company,Flag,Deployment,Country,Mnos,Sharing Model,Business Model,Scope,Highlights,Status,Year,Deployment Scenario
cloudextel,India,CloudExtel,India,Vodafone Idea and Bharti Airtel,MORAN,Independent Mobile NaaSCo,"The quality service increased by 10x , from 4 mbps to 40 mbps peak throughput
The amount of transferred data is 990 GB daily
It handles more than 230,000 users per day","CloudExtel and RailTel deployed a neutral-host NaaS solution on the Mumbai Central Railway Station
The solution involves 6 remote radio units, using a single backhaul unit
The project involves still 8 more trains stations
CloudExtel works with TIP to define the business model and Nokia for equipment",Active,2022,Low-ARPU Urban and High-ARPU Urban
edotco,,Edotco,"Based in Malaysia, operations in 8 countries in APAC",Multiple operators per country,MORAN,Independent Mobile NaaSCo,41k sites in the APAC region,"Edotco currently operates as an Infrastructure (tower & power) provider.
One of the fastest growing InfraCos in the region&&
In 2020, edotco partnered with the Telecom Infra Project (TIP), to conduct trials of Open Radio Access Network (OpenRAN) technology.
Trial required edotco to deploy and test OpenRAN 4G sites at selected high traffic areas in Malaysia in a Network as a Service environment, providing wholesale service to MNOs starting with Celcom Axiata.&&
Edotco is planning to grow at least 70,000 sites by 2025 and it is  looking to complete its presence within the Southeast Asia and South Asia market by expanding into three new markets.
Edotco is exploring NaaSCo opportunities",Active,2014,"Rural, Low-ARPU urban"
internet_para_todos,Peru,Internet Para Todos,Peru,"Telefonica ,Entel & Claro",MORAN,Independent Mobile NaaSCo,"12k rural communities served across the rural geography of Peru.​
2 Million Covered PoPs.​
IpT estimates more than 2,000 sites and more than 15,000 towns with 4G presence at the end of 2022
Targets for 2023: ​3.079 Upgraded Sites​ & 866 new sites in not-spot areas​","Joint venture created by: Telefonica, FB Connectivity, IDB Invest, and CAF operating under the NaaS Model​
IpT objective is to reduce digital gap and connect Peru rural/remote communities.​
Spectrum owned by Telefonica and Entel​
Current sharing model is MORAN, but IpT is in coordination with the Regulator to approve MOCN so that they can onboard a third MNO (Claro)​
Delayed 2020 target to cover 2.1M pops and 13,00 municipalities was accomplished in 2021 
More than 1,900 4G sites in Peru connected up until now connecting more than 2.8 million people 
It upgraded existing 2G sites to 4G and built new 4G greenfield sites
MNO Partner Claro Perú and IpT closed agreement in 2022",Active,2019,"Rural, Ultra-Rural"
nuran,,NURAN,"Sudan, DRC, Cameroon, Ghana, Mali, Sierra Leone among others","MTN, Orange among others",---,Independent Mobile NaaSCo,"2G, 3G and 4G Rural Networks.
452 sites deployed in 22 countries covering 851,139 pops.
58 sites under the NaaS Model in 3 countries","In partnership with Orange, it will deploy 242 GSM sites in Cameroon. 15 sites are already on-air,  the initial report on 10 of them, shows a penetration rate around 33%.
It will deploy 120 sites in DRC by March 2022, 14 sites were delivered in 2021.
In 2021, NURAN  signed a 10-year agreement with MTN Group Limited to deploy and operate 250 sites in Sudan, CAD $57 Million in revenues is estimated.&&
In 2021, it signed two Memorandum of Understanding (“MOU”) to deploy rural Networks in West Africa: 150 sites with Telino-Consulting in Mali and 125 sites with Sierra Tel in Sierra Leone&&",Active,2014,"Rural, Ultra-Rural"
winity_telecom,Brazil,Winity Telecom,Brazil,MNOs in Brazil,MNO/MVNO Wholesale,Independent Mobile NaaSCo,"4G & 5G  Networks
Macro Sites, DAS,  Small Cells and Private Networks ","In 2021, Through a government auction,  it acquired a 5G license to operate the first strip of 700 MHz  (10 MHz + 10 MHz) with nation countrywide coverage. The amount to be paid, $255 million, is 805 percent above the minimum required.
The license includes coverage obligations to build infrastructure to provide 4G coverage across 625 locations and in 31 thousand km of federal roads, the geographical distribution of the targets represents a challenge (North, Northeast and Central-West)
By the end of 2029, Winity plans to  deploy 5000 towers with an investment of R$ 2 billions
TIM is the best candidate to be the first retail customer since it also operates in the 700 MHz which facilities the RAN Sharing ",Pending,2021,"Rural, Ultra-Rural, Low-ARPU Urban"
liquid_telecom,South Africa,Liquid Telecom,South Africa,Vodacom,MNO/MVNO Wholesale,Independent Mobile NaaSCo,Major South African cities in early 2020,"Liquid Telecom is the only MNO with a 5G license spectrum allocated in South Africa (56 MHz in the 3.5 GHz band)
Due to the pandemic , Liquid received temporally a 4MHz of additional spectrum adjacent to its existing assignment.
Vodacom signed a deal to use Liquid’s 3.5GHz spectrum for 5G services
Currently, it is involved in the ICASA’s process to allocate the temporary 5G spectrum",Active,2020,Low-ARPU Urban
africa_mobile_network,South Africa,Africa Mobile Network (AMN),12 Countries in Africa,"Orange, MTN among others",NA,Independent Mobile NaaSCo,"2G, 3G & 4G Networks​
Networks deployed in 12 Countries​
2,450 base stations in services​
AMN works under a Closed Operating Model
It estimates to reach 3,500 sites by the end of 2022","Currently, it is expanding its Network in 12 countries located in sub-Saharan Africa.​
In 2020, It acquired US-based Range Networks Inc as the basis for the development of its own in-house Radio Access Network (RAN) equipment.​
It has raised more than $100m from some twenty investors (Meta, Intelsat)​
AMN Networks are based on small towers installed in a day ​
In 2021, it received an investment of $36m to expand its coverage to 3,500 towers with more than 2 million subscribers by the end of 2022 and more than 5,000 by the end of 2023
AMN is targetting to connect more than 40 million subscribers with more than 10,000 new sites.",Active,2013,"Rural, Ultra-Rural"
tepco,Japan,TEPCO,Japan,"KDDI, Rakuten Mobile Network",MORAN,Independent Mobile NaaSCo,Crowded cities ,"TEPCO is exploring the shared utilization of utility poles  and other electric power infrastructure to deploy a 5G small cell Network in Tokyo.
5G Antenna-equipped Smart Poles are a suitable alternative to deploy extensive 5G Network in crowded cities like Tokyo avoiding the impact on the landscape.
TEPCO’s buried power lines, located in the main streets, will be leveraged to overcome major structural issues regarding backhaul deployment.
.",Active,2019,Low-ARPU Urban and High-ARPU Urban
dense_air,,Dense Air,"Australia, Belgium, Ireland, New Zealand, Portugal, and the UK","National MNOs, MVNOs, Fixed Network operators and Private enterprises",MNO/MVNO Wholesale,Independent Mobile NaaSCo,Dense Air portfolio includes solutions for both rural and urban scenarios focused the usage of small cells and tower construction,"Dense Air controls its own mid-band spectrum in Ireland, Belgium, Portugal, New Zealand, and Australia; operating as a NaaS provider for 4G & 5G.
Dense Air partners with cities and carriers to build city-wide networks and serve as a neutral host.
2020 – Dense Air will serve as neutral host of a 5G network in Dublin, Ireland.
2021 – Dense Air acquired 2.6 GHz nationwide spectrum in Australia to host 5G RAN-as-a-service.
Still growing, in 2021 successful acquisition of mmWave spectrum at 26 GHz in Sydney and Melbourne",Active,2017,"Rural, Ultra-Rural, Low-ARPU Urban"
wireless_infrastructure_group,UK,Wireless Infrastructure Group – Aberdeen,UK,O2,MORAN/MOCN,Independent Mobile NaaSCo,5G Network of small Cells with a contiguous coverage to over 4km-sq of the Aberdeen’s city center,"2018 - In partnership with Aberdeen City Council (Scotland) deployed a 5G Network of small cells, O2 is the first mobile operator to launch its services using WIG’s infrastructure and O2’s spectrum.
The Network can be used with MNO’s spectrum and Ofcom’s shared access licenses.
The small cells wad attached to lamp-posts and traffic lights across Aberdeen’s city center. 
The Network was deployed using C-RAN technology 
WIG built the fiber optic backhaul",Active,2018,Low-ARPU Urban
